entity,coupled,degree,average-revs
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/AnchorTest.java,plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/SubmitAjaxTest.java,83,6
plugins/dojo/src/main/resources/template/ajax/bind.ftl,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/Bind-1.txt,83,6
core/src/test/resources/org/apache/struts2/views/jsp/ui/DoubleSelect-1.txt,core/src/test/resources/org/apache/struts2/views/jsp/ui/DoubleSelect-2.txt,83,6
plugins/dojo/src/main/resources/template/ajax/bind.ftl,plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/BindTest.java,83,6
plugins/pell-multipart/pom.xml,plugins/tiles/pom.xml,82,78
plugins/jfreechart/pom.xml,plugins/spring/pom.xml,82,75
plugins/jasperreports/pom.xml,plugins/spring/pom.xml,82,74
core/src/site/resources/tags/ajax/div.html,core/src/site/resources/tags/ajax/submit.html,82,15
archetypes/struts2-archetype-blank/src/main/resources/archetype-resources/pom.xml,archetypes/struts2-archetype-convention/src/main/resources/archetype-resources/pom.xml,82,15
plugins/dojo/src/main/resources/template/ajax/autocompleter.ftl,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/Autocompleter-1.txt,82,9
core/src/site/resources/tags/radio.html,core/src/site/resources/tags/select.html,82,9
plugins/jsf/pom.xml,plugins/tiles/pom.xml,81,79
plugins/config-browser/pom.xml,plugins/tiles/pom.xml,81,79
archetypes/struts2-archetype-blank/src/main/resources/archetype-resources/pom.xml,archetypes/struts2-archetype-starter/src/main/resources/archetype-resources/pom.xml,81,14
core/src/site/resources/tags/checkboxlist.html,core/src/site/resources/tags/radio.html,81,11
apps/blank/pom.xml,plugins/struts1/pom.xml,80,83
plugins/plexus/pom.xml,plugins/tiles/pom.xml,80,80
apps/mailreader/pom.xml,plugins/jsf/pom.xml,80,79
apps/blank/pom.xml,plugins/pell-multipart/pom.xml,80,79
apps/mailreader/pom.xml,plugins/pell-multipart/pom.xml,80,78
core/src/site/resources/tags/inputtransferselect.html,core/src/site/resources/tags/updownselect.html,80,8
apps/blank/pom.xml,plugins/sitegraph/pom.xml,79,84
apps/blank/pom.xml,plugins/config-browser/pom.xml,79,80
apps/mailreader/pom.xml,plugins/config-browser/pom.xml,79,79
apps/blank/pom.xml,plugins/jsf/pom.xml,79,79
plugins/rest/pom.xml,plugins/testng/pom.xml,79,27
apps/blank/pom.xml,plugins/jfreechart/pom.xml,78,84
apps/blank/pom.xml,plugins/sitemesh/pom.xml,78,83
apps/blank/pom.xml,plugins/codebehind/pom.xml,78,82
apps/blank/pom.xml,plugins/plexus/pom.xml,78,81
plugins/pell-multipart/pom.xml,plugins/pom.xml,78,81
apps/mailreader/pom.xml,plugins/plexus/pom.xml,78,80
core/src/site/resources/tags/ajax/submit.html,core/src/site/resources/tags/ajax/tree.html,78,12
apps/blank/pom.xml,apps/mailreader/pom.xml,77,93
plugins/sitemesh/pom.xml,plugins/tiles/pom.xml,77,83
apps/mailreader/pom.xml,plugins/jasperreports/pom.xml,77,83
plugins/jasperreports/pom.xml,plugins/tiles/pom.xml,77,83
plugins/config-browser/pom.xml,plugins/pom.xml,77,82
plugins/jsf/pom.xml,plugins/pom.xml,77,81
plugins/junit/pom.xml,plugins/testng/pom.xml,77,29
core/src/site/resources/tags/radio.html,core/src/site/resources/tags/updownselect.html,77,9
core/src/main/resources/template/ajax/autocompleter.ftl,core/src/main/resources/template/simple/autocompleter.ftl,77,9
core/src/main/resources/template/simple/autocompleter.ftl,core/src/test/resources/org/apache/struts2/views/jsp/ui/Autocompleter-1.txt,77,9
apps/portlet/pom.xml,plugins/sitemesh/pom.xml,76,89
plugins/jfreechart/pom.xml,plugins/tiles/pom.xml,76,84
plugins/plexus/pom.xml,plugins/pom.xml,76,83
apps/mailreader/pom.xml,plugins/sitemesh/pom.xml,76,83
plugins/struts1/pom.xml,plugins/tiles/pom.xml,76,82
apps/mailreader/pom.xml,plugins/struts1/pom.xml,76,82
plugins/dwr/pom.xml,plugins/rest/pom.xml,76,25
core/src/site/resources/tags/ajax/a.html,core/src/site/resources/tags/ajax/tree.html,76,13
core/src/site/resources/tags/ajax/div.html,core/src/site/resources/tags/ajax/tree.html,76,13
core/src/test/java/org/apache/struts2/views/jsp/ui/AutocompleterTest.java,core/src/test/resources/org/apache/struts2/views/jsp/ui/Autocompleter-2.txt,76,11
core/src/site/resources/tags/ajax/submit.html,core/src/site/resources/tags/ajax/treenode.html,76,11
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/AnchorTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,76,7
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/jsp/ui/SubmitTag.java,plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/SubmitAjaxTest.java,76,7
plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-2.txt,76,7
plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/FreeMarkerPageFilter.java,plugins/sitemesh/src/main/java/org/apache/struts2/sitemesh/VelocityPageFilter.java,76,7
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/SubmitAjaxTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/div-1.txt,76,7
plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/href-1.txt,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,76,7
plugins/dojo/src/main/resources/template/ajax/ajax-common.ftl,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,76,7
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/BindTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,76,7
core/src/test/resources/org/apache/struts2/views/jsp/ui/DoubleSelect-1.txt,core/src/test/resources/org/apache/struts2/views/jsp/ui/DoubleSelect-3.txt,76,7
plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/AutocompleterTest.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/Autocompleter-1.txt,76,7
plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/Bind-1.txt,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,76,7
plugins/sitegraph/pom.xml,plugins/tiles/pom.xml,75,84
apps/mailreader/pom.xml,plugins/jfreechart/pom.xml,75,84
plugins/codebehind/pom.xml,plugins/pom.xml,75,84
apps/mailreader/pom.xml,plugins/sitegraph/pom.xml,75,84
